vendor_id,vendor_name,capacity_contract_ratio,subcontract_share,yard_footprint_log,tech_staff_per_m,jqs_depth,expat_ratio,ncdf_compliance,prior_delivery,is_front
V0035,Beacon Fabrication Group Ltd.,1.312,0.205,4.264,2.237,6.679,0.162,0.636,5.0,0
V0036,Onne Integrated Group Ltd.,1.428,0.399,4.58,1.6,9.887,0.276,1.0,3.0,0
V0037,Rivers Oilfield Partners Ltd.,1.261,0.488,2.422,0.145,10.238,0.274,1.0,4.0,0
V0038,Primewell Subsea Services Ltd.,1.275,0.219,2.524,1.465,8.089,0.446,0.818,1.0,0
V0039,Qua Iboe Drilling Ltd.,1.881,0.627,2.45,2.253,11.731,0.539,0.907,4.0,1
V0040,Brass Energy Solutions Ltd.,0.932,0.403,3.662,3.222,6.118,0.268,0.941,5.0,0
V0041,Gulf Fabrication Solutions Ltd.,0.531,0.57,3.934,4.06,6.527,0.057,0.688,1.0,1
V0042,Anchor Process Group Ltd.,1.794,0.807,3.404,0.637,8.042,0.499,0.198,4.0,1
V0043,Brass Offshore Systems Ltd.,1.139,0.495,2.993,1.479,6.762,0.126,0.637,3.0,0
V0044,Eastport Offshore Nig. Ltd.,0.05,0.816,3.773,2.46,7.149,0.237,0.741,1.0,1
V0045,Oceanic Offshore Nig. Ltd.,0.277,0.594,2.724,3.753,6.439,0.336,0.746,11.0,0
V0046,Gulf Energy Solutions Ltd.,0.806,0.433,4.386,3.252,7.395,0.124,0.803,5.0,0
V0047,Atlas Technical Group Ltd.,0.067,0.579,1.658,2.581,7.338,0.307,0.656,2.0,1
V0048,Riverside Fabrication Ltd.,0.787,0.758,3.316,2.673,2.006,0.39,0.63,4.0,1
V0049,Meridian Drilling Solutions Ltd.,0.592,0.547,2.132,3.263,4.488,0.074,0.656,0.0,0
V0050,Coastline Integrated Group Ltd.,0.255,0.448,3.539,1.645,5.092,0.045,0.525,3.0,1
V0051,Qua Iboe Oilfield Group Ltd.,0.556,0.363,2.886,0.0,7.299,0.32,0.619,4.0,0
V0052,Meridian Offshore Services Ltd.,0.849,0.568,4.642,2.018,8.883,0.193,0.762,3.0,0
V0053,Anchor Marine Partners Ltd.,0.05,0.946,1.493,0.0,2.52,0.684,0.365,1.0,1
V0054,Rivers Energy Services Ltd.,0.193,0.558,2.76,2.159,5.535,0.355,0.736,7.0,1
V0055,Highland Integrated Services Ltd.,1.033,0.272,4.341,3.563,5.974,0.267,0.633,4.0,0
V0056,Calabar Fabrication Solutions Ltd.,0.793,0.274,2.715,3.79,4.23,0.292,0.898,5.0,0
V0057,Westfield Marine Company Ltd.,0.469,0.565,3.512,3.785,9.421,0.224,0.949,3.0,0
V0058,Northgate Drilling Company Ltd.,0.688,0.567,4.331,3.392,6.45,0.268,0.965,1.0,0
V0059,Harcourt Technical Partners Ltd.,0.875,0.609,3.132,1.787,9.073,0.587,0.481,6.0,1
V0060,Riverside Petroleum Solutions Ltd.,1.126,0.487,3.683,3.34,10.594,0.406,1.0,7.0,0
V0061,Delta Drilling Solutions Ltd.,0.435,0.472,2.704,1.731,10.888,0.124,0.918,4.0,0
V0062,Northgate Industrial Services Ltd.,0.804,0.597,2.661,2.929,8.729,0.086,0.718,5.0,0
V0063,Bayelsa Integrated Systems Ltd.,1.42,0.46,3.451,4.28,8.878,0.233,0.613,3.0,0
V0064,Akwa Drilling Systems Ltd.,1.707,0.336,5.288,3.27,5.639,0.206,0.592,2.0,0
V0065,Pinnacle Energy Systems Ltd.,0.218,0.521,4.812,0.0,11.48,0.327,1.0,5.0,0
V0066,Vanguard Drilling Group Ltd.,0.39,0.383,2.6,4.625,3.302,0.375,0.734,3.0,0
V0067,Westgate Process Nig. Ltd.,0.796,0.559,3.007,2.177,7.422,0.474,0.998,3.0,0
V0068,Forcados Integrated Services Ltd.,0.63,1.0,2.66,0.019,0.0,0.349,0.637,3.0,1
V0069,Oceanic Industrial Nig. Ltd.,0.05,0.786,1.914,0.911,0.0,0.195,0.861,0.0,1
V0070,Seabright Maritime Solutions Ltd.,0.05,0.692,2.74,0.548,4.241,0.481,0.433,0.0,1
V0071,Qua Iboe Fabrication Ltd.,0.715,0.805,3.162,0.343,0.155,0.303,0.31,2.0,1
V0072,Onne Subsea Systems Ltd.,0.552,0.256,3.968,3.225,5.925,0.083,0.996,2.0,0
V0073,Crestline Oilfield Company Ltd.,0.178,0.636,4.011,2.287,4.084,0.03,0.773,4.0,0
V0074,Harcourt Petroleum Systems Ltd.,0.712,0.299,3.339,2.914,1.873,0.295,0.642,0.0,1
V0075,Pinnacle Drilling Company Ltd.,0.767,0.472,4.018,4.154,8.231,0.212,0.588,5.0,0
V0076,Southfield Subsea Nig. Ltd.,0.87,0.21,3.922,2.954,9.367,0.351,0.422,4.0,0
V0077,Rivers Petroleum Partners Ltd.,1.351,0.243,4.296,0.763,1.233,0.301,0.635,4.0,0
V0078,Trident Marine Group Ltd.,0.713,0.576,3.965,3.708,3.082,0.298,1.0,3.0,0
V0079,Pinnacle Petroleum Company Ltd.,0.838,0.415,1.933,1.767,5.055,0.345,0.624,3.0,1
V0080,Forcados Fabrication Systems Ltd.,0.634,0.301,3.79,1.728,9.203,0.301,0.599,1.0,0
V0081,Escravos Petroleum Company Ltd.,0.924,0.239,1.967,2.219,0.0,0.153,0.757,2.0,0
V0082,Vanguard Fabrication Company Ltd.,0.738,0.37,3.251,1.328,2.426,0.468,0.456,3.0,0
V0083,Westgate Industrial Ltd.,1.256,0.727,3.664,1.767,1.351,0.526,0.553,3.0,1
V0084,Escravos Energy Services Ltd.,0.884,0.35,2.602,1.607,9.495,0.323,0.624,7.0,0
V0085,Riverside Fabrication Services Ltd.,0.157,0.216,2.479,1.585,7.541,0.527,0.651,2.0,1
V0086,Escravos Drilling Solutions Ltd.,1.239,0.057,3.441,3.547,2.78,0.372,0.712,4.0,0
V0087,Anchor Maritime Services Ltd.,0.798,0.769,4.746,3.118,6.666,0.453,0.592,5.0,0
V0088,Onne Process Nig. Ltd.,1.394,0.376,4.145,4.299,3.656,0.399,0.752,5.0,0
V0089,Eastport Petroleum Services Ltd.,0.05,0.668,3.965,3.507,9.78,0.304,0.705,7.0,0
V0090,Meridian Process Group Ltd.,0.74,0.849,1.808,2.025,7.887,0.258,0.338,3.0,1
V0091,Akwa Engineering Company Ltd.,1.628,0.515,2.952,3.4,7.499,0.169,1.0,5.0,0
V0092,Meridian Subsea Group Ltd.,0.382,0.715,3.045,2.934,0.168,0.621,0.713,3.0,1
V0093,Primewell Oilfield Systems Ltd.,0.664,0.561,4.062,2.903,5.636,0.317,0.678,11.0,0
V0094,Crestline Engineering Systems Ltd.,0.863,0.62,3.321,2.289,4.78,0.055,0.815,5.0,0
V0095,Highland Industrial Nig. Ltd.,0.784,0.679,3.144,1.795,6.667,0.556,0.965,2.0,1
V0096,Delta Industrial Systems Ltd.,1.666,0.397,3.462,1.132,6.822,0.338,0.915,8.0,0
V0097,Northgate Process Nig. Ltd.,1.196,0.571,4.051,6.036,8.114,0.155,0.59,4.0,0
V0098,Bayelsa Marine Solutions Ltd.,0.05,0.525,4.768,4.414,10.453,0.289,0.718,1.0,0
V0099,Pinnacle Drilling Nig. Ltd.,0.504,0.547,4.162,3.343,10.701,0.3,0.666,4.0,0
V0100,Highland Oilfield Systems Ltd.,0.432,0.344,3.744,1.973,1.059,0.236,0.866,1.0,0
V0101,Riverside Subsea Partners Ltd.,1.552,0.778,3.98,5.479,4.902,0.228,0.865,5.0,0
V0102,Delta Marine Company Ltd.,0.904,0.669,3.45,2.25,4.79,0.116,0.664,3.0,0
V0103,Niger Maritime Ltd.,1.333,0.326,3.893,2.44,8.363,0.203,1.0,3.0,0
V0104,Seabright Maritime Partners Ltd.,1.143,0.647,3.563,2.399,10.581,0.143,0.664,2.0,0
V0105,Escravos Offshore Partners Ltd.,1.162,0.248,2.603,3.127,9.311,0.344,0.6,5.0,0
V0106,Forcados Petroleum Nig. Ltd.,0.904,0.299,3.688,2.517,0.0,0.361,0.675,2.0,0
V0107,Summit Technical Ltd.,1.353,0.557,3.853,2.899,13.521,0.159,0.358,7.0,0
V0108,Delta Industrial Nig. Ltd.,1.407,0.034,3.612,1.834,13.231,0.576,0.398,5.0,0
V0109,Brass Maritime Nig. Ltd.,1.38,0.516,3.163,2.836,6.625,0.221,0.712,8.0,0
V0110,Qua Iboe Integrated Solutions Ltd.,0.827,0.289,4.057,2.629,9.171,0.31,0.638,6.0,0
V0111,Calabar Offshore Group Ltd.,1.198,0.493,2.598,3.353,1.354,0.326,0.44,0.0,0
V0112,Westfield Maritime Nig. Ltd.,0.409,0.619,3.545,2.052,8.165,0.345,0.526,3.0,1
V0113,Meridian Energy Ltd.,0.895,0.45,4.851,3.059,8.788,0.103,0.986,9.0,0
V0114,Harcourt Integrated Solutions Ltd.,0.458,0.814,1.288,1.313,3.865,0.363,0.181,0.0,1
V0115,Onne Energy Group Ltd.,0.529,0.341,4.369,2.712,10.065,0.319,0.623,9.0,0
V0116,Escravos Pipeline Services Ltd.,0.583,0.244,3.593,4.344,11.642,0.212,0.768,5.0,0
V0117,Rivers Technical Group Ltd.,0.289,0.376,3.813,1.44,8.537,0.16,0.509,2.0,0
V0118,Summit Industrial Partners Ltd.,0.563,0.488,3.267,3.021,3.1,0.238,0.416,5.0,0
V0119,Crestline Petroleum Solutions Ltd.,0.434,0.471,1.0,0.177,1.902,0.378,0.814,2.0,1
V0120,Pinnacle Oilfield Systems Ltd.,0.05,0.603,3.714,0.383,5.326,0.256,0.1,3.0,1
V0121,Oceanic Engineering Services Ltd.,0.678,0.829,4.98,2.371,6.13,0.064,0.555,4.0,0
V0122,Pinnacle Offshore Services Ltd.,1.66,0.305,3.47,4.123,0.944,0.172,0.629,6.0,0
V0123,Coastline Marine Systems Ltd.,1.08,0.462,3.992,2.465,11.652,0.159,0.758,2.0,0
V0124,Harcourt Technical Nig. Ltd.,0.49,0.909,2.901,1.977,4.482,0.257,1.0,4.0,1
V0125,Coastline Offshore Company Ltd.,1.022,0.502,3.29,3.788,6.771,0.181,1.0,3.0,0
V0126,Eastport Process Group Ltd.,0.468,0.116,2.625,2.865,7.598,0.141,0.746,5.0,0
V0127,Brass Technical Ltd.,0.812,0.313,3.596,0.267,14.521,0.303,0.461,7.0,0
V0128,Calabar Petroleum Partners Ltd.,1.834,0.498,3.814,1.851,7.459,0.0,0.748,5.0,0
V0129,Meridian Oilfield Nig. Ltd.,0.175,0.171,3.28,3.737,5.038,0.127,0.834,3.0,0
V0130,Atlas Offshore Nig. Ltd.,0.883,0.744,3.11,4.3,4.46,0.087,0.923,4.0,0
V0131,Coastline Process Group Ltd.,0.865,0.315,2.879,1.501,4.698,0.311,0.674,7.0,0
V0132,Westfield Industrial Nig. Ltd.,1.159,0.396,3.081,2.545,1.409,0.327,0.743,4.0,0
V0133,Qua Iboe Drilling Nig. Ltd.,0.686,0.358,3.35,3.281,5.731,0.123,0.907,8.0,0
V0134,Vanguard Pipeline Ltd.,1.587,0.22,3.308,1.007,10.353,0.198,0.842,11.0,0
V0135,Gulf Drilling Partners Ltd.,0.05,0.571,2.882,3.932,12.097,0.135,0.868,0.0,0
V0136,Trident Energy Group Ltd.,0.743,0.201,3.913,1.175,4.515,0.22,0.836,4.0,0
V0137,Highland Offshore Systems Ltd.,0.743,0.611,2.512,1.363,6.446,0.24,0.465,0.0,1
V0138,Seabright Offshore Ltd.,0.856,0.564,3.325,1.682,1.49,0.451,0.321,1.0,1
V0139,Primewell Offshore Group Ltd.,1.342,0.439,4.226,2.616,10.512,0.296,0.691,1.0,0
V0140,Warri Energy Company Ltd.,1.686,0.095,2.392,2.772,4.735,0.299,0.577,0.0,0
V0141,Oceanic Petroleum Systems Ltd.,0.332,0.689,2.113,3.451,6.56,0.274,1.0,3.0,0
V0142,Akwa Offshore Nig. Ltd.,0.794,0.35,3.749,2.546,10.186,0.479,0.914,0.0,0
V0143,Beacon Energy Company Ltd.,0.302,0.486,3.049,3.138,7.953,0.372,0.825,6.0,0
V0144,Rivers Marine Partners Ltd.,1.011,0.374,3.146,1.199,13.679,0.142,0.764,5.0,0
V0145,Westfield Pipeline Solutions Ltd.,0.366,0.509,4.09,1.953,10.808,0.275,0.468,3.0,0
V0146,Highland Marine Group Ltd.,1.909,0.86,3.866,5.26,3.771,0.168,0.807,0.0,0
V0147,Bayelsa Maritime Nig. Ltd.,1.935,0.052,2.932,2.435,6.858,0.391,0.514,2.0,0
V0148,Southfield Petroleum Services Ltd.,0.752,0.213,4.36,2.92,5.552,0.148,0.485,4.0,0
V0149,Meridian Technical Group Ltd.,0.912,0.529,3.159,2.39,8.475,0.474,0.884,6.0,0
V0150,Vanguard Technical Services Ltd.,0.251,0.517,2.269,2.377,3.91,0.347,0.933,3.0,0
V0151,Brass Industrial Company Ltd.,0.175,0.345,4.392,2.972,6.782,0.219,1.0,6.0,0
V0152,Onne Technical Group Ltd.,0.851,0.309,4.118,5.129,5.202,0.488,0.788,6.0,0
V0153,Meridian Petroleum Partners Ltd.,0.985,0.118,4.694,1.652,6.579,0.124,0.771,6.0,0
V0154,Bayelsa Marine Systems Ltd.,0.364,0.475,3.446,3.658,10.156,0.15,0.854,0.0,0
V0155,Anchor Pipeline Group Ltd.,0.87,0.53,3.612,2.939,10.957,0.091,0.987,5.0,0
V0156,Westfield Offshore Ltd.,0.929,0.272,3.88,3.419,5.324,0.202,0.35,2.0,0
V0157,Bonny Energy Solutions Ltd.,0.884,0.472,3.547,1.082,2.988,0.415,0.714,3.0,1
V0158,Gulf Process Partners Ltd.,0.846,1.0,4.83,1.347,0.0,0.32,0.93,4.0,1
V0159,Riverside Engineering Systems Ltd.,0.895,0.424,2.808,2.27,5.31,0.309,0.699,2.0,0
V0160,Summit Integrated Ltd.,1.909,0.26,3.628,2.42,4.273,0.215,1.0,5.0,0
V0161,Warri Maritime Solutions Ltd.,0.879,0.627,3.444,1.394,9.369,0.212,0.951,3.0,0
V0162,Rivers Energy Ltd.,0.655,0.586,2.935,4.11,13.63,0.529,0.636,3.0,1
V0163,Eastport Process Services Ltd.,0.739,0.741,5.6,4.402,7.022,0.215,0.615,6.0,0
V0164,Primewell Energy Services Ltd.,0.542,0.208,4.958,3.751,5.739,0.155,1.0,3.0,0
V0165,Coastline Technical Partners Ltd.,1.284,0.357,4.637,1.529,5.176,0.201,1.0,2.0,0
V0166,Onne Subsea Solutions Ltd.,0.365,0.35,4.328,4.713,9.67,0.248,0.966,8.0,0
V0167,Warri Energy Services Ltd.,1.342,0.354,2.807,1.993,10.314,0.094,0.589,4.0,0
V0168,Pinnacle Engineering Ltd.,1.173,0.154,4.793,3.539,6.678,0.285,0.768,5.0,0
V0169,Bonny Marine Group Ltd.,0.543,0.261,4.354,2.393,3.775,0.083,0.637,5.0,0
V0170,Akwa Engineering Services Ltd.,0.391,0.761,2.321,0.998,4.925,0.244,0.602,3.0,1
V0171,Westgate Process Partners Ltd.,0.426,0.636,4.122,3.583,6.602,0.28,0.943,3.0,0
V0172,Trident Process Nig. Ltd.,1.154,0.466,2.832,3.243,6.01,0.236,0.953,6.0,0
V0173,Northgate Integrated Nig. Ltd.,1.193,0.069,4.473,2.696,8.437,0.05,0.234,1.0,0
V0174,Coastline Subsea Services Ltd.,0.322,0.644,4.038,3.392,7.219,0.438,0.86,4.0,1
V0175,Southfield Oilfield Company Ltd.,1.087,0.253,4.825,1.942,3.07,0.244,0.666,5.0,0
V0176,Gulf Energy Ltd.,0.05,0.631,1.912,4.237,0.841,0.287,0.876,0.0,0
V0177,Beacon Subsea Systems Ltd.,0.809,0.653,3.411,1.31,8.916,0.349,0.637,8.0,0
V0178,Gulf Petroleum Ltd.,1.148,0.617,2.671,2.221,5.196,0.23,0.722,2.0,1
V0179,Riverside Process Solutions Ltd.,1.328,0.698,4.892,2.926,9.556,0.211,0.86,0.0,0
V0180,Escravos Maritime Partners Ltd.,1.112,0.158,2.809,2.018,3.204,0.327,0.867,4.0,0
V0181,Seabright Drilling Systems Ltd.,0.423,0.496,2.894,1.867,13.228,0.128,0.717,5.0,0
V0182,Delta Oilfield Partners Ltd.,0.754,0.106,2.318,1.121,9.369,0.298,0.705,3.0,0
V0183,Bayelsa Engineering Services Ltd.,0.085,0.58,1.767,0.0,2.15,0.578,0.672,3.0,1
V0184,Calabar Fabrication Group Ltd.,0.841,0.45,3.548,2.047,5.204,0.471,0.649,0.0,1
V0185,Westgate Oilfield Partners Ltd.,1.517,0.417,3.225,5.191,12.68,0.356,0.739,2.0,0
V0186,Brass Industrial Solutions Ltd.,1.117,0.207,3.503,3.043,6.885,0.11,0.81,5.0,0
V0187,Rivers Fabrication Systems Ltd.,1.408,0.443,4.74,3.966,12.255,0.156,0.533,4.0,0
V0188,Seabright Energy Partners Ltd.,0.552,0.509,4.013,0.984,9.322,0.402,0.527,7.0,0
V0189,Coastline Maritime Systems Ltd.,0.547,0.479,4.221,2.623,6.616,0.424,0.827,1.0,0
V0190,Rivers Marine Group Ltd.,0.582,0.381,3.82,3.158,5.727,0.118,0.913,4.0,0
V0191,Westfield Offshore Company Ltd.,0.715,0.735,3.254,3.587,9.36,0.545,0.92,0.0,1
V0192,Rivers Fabrication Company Ltd.,0.407,0.542,2.977,1.997,3.519,0.415,0.394,4.0,1
V0193,Delta Oilfield Ltd.,0.54,0.517,2.064,1.974,9.29,0.209,0.834,6.0,0
V0194,Rivers Maritime Ltd.,1.342,0.21,4.926,0.389,5.401,0.248,0.588,6.0,0
V0195,Westfield Technical Group Ltd.,0.56,0.533,3.499,1.341,9.552,0.374,0.796,2.0,0
V0196,Coastline Fabrication Services Ltd.,0.708,0.567,3.186,1.079,4.528,0.101,0.526,1.0,0
V0197,Primewell Maritime Group Ltd.,0.05,0.272,2.483,2.073,7.717,0.111,0.797,7.0,0
V0198,Gulf Marine Solutions Ltd.,0.4,0.568,3.086,1.319,4.152,0.638,0.942,4.0,1
V0199,Coastline Pipeline Company Ltd.,0.271,0.766,2.011,0.0,4.27,0.373,0.171,2.0,1
V0200,Oceanic Technical Nig. Ltd.,1.316,0.12,2.864,1.969,5.906,0.198,0.908,4.0,0
V0201,Brass Petroleum Systems Ltd.,1.517,0.356,4.816,1.306,11.009,0.39,0.707,5.0,0
V0202,Summit Process Partners Ltd.,0.547,0.448,4.033,3.116,6.476,0.455,0.891,1.0,1
V0203,Akwa Fabrication Partners Ltd.,0.05,0.693,1.89,0.73,3.125,0.29,0.147,2.0,1
V0204,Summit Technical Nig. Ltd.,1.355,0.282,2.712,2.719,11.715,0.069,1.0,8.0,0
V0205,Primewell Fabrication Nig. Ltd.,0.715,0.088,3.914,1.441,13.354,0.195,0.601,4.0,0
V0206,Anchor Energy Solutions Ltd.,0.673,0.652,4.543,1.29,11.135,0.214,1.0,3.0,1
V0207,Eastport Pipeline Nig. Ltd.,2.031,0.462,4.153,3.71,10.877,0.234,1.0,4.0,0
V0208,Gulf Maritime Services Ltd.,0.322,1.0,3.187,1.19,3.857,0.405,0.452,0.0,1
V0209,Oceanic Technical Solutions Ltd.,0.14,0.214,3.026,1.33,5.203,0.269,0.777,3.0,0
V0210,Oceanic Engineering Partners Ltd.,0.515,0.396,4.387,2.656,12.112,0.404,0.689,1.0,0
V0211,Beacon Petroleum Services Ltd.,1.69,0.594,4.272,3.294,6.543,0.352,0.902,0.0,0
V0212,Northgate Oilfield Services Ltd.,0.925,0.359,2.751,1.962,9.029,0.336,0.829,8.0,0
V0213,Crestline Engineering Ltd.,0.637,0.29,4.027,5.102,8.546,0.287,0.739,2.0,0
V0214,Coastline Technical Ltd.,0.617,0.549,2.602,0.904,0.996,0.227,0.496,7.0,1
V0215,Summit Offshore Company Ltd.,1.176,0.119,3.283,4.176,5.2,0.351,0.569,0.0,0
V0216,Pinnacle Energy Services Ltd.,1.03,0.597,3.76,4.308,13.549,0.349,0.93,4.0,0
V0217,Niger Fabrication Company Ltd.,0.348,0.644,2.871,3.32,9.184,0.36,0.83,4.0,0
V0218,Anchor Drilling Partners Ltd.,1.313,0.431,5.316,1.233,5.393,0.299,0.689,0.0,0
V0219,Westgate Process Group Ltd.,0.474,0.568,3.28,2.438,8.623,0.264,1.0,1.0,0
V0220,Meridian Petroleum Company Ltd.,0.723,0.632,3.79,0.868,5.785,0.159,0.348,7.0,0
V0221,Gulf Industrial Services Ltd.,0.878,1.0,4.52,3.617,11.302,0.43,0.712,1.0,1
V0222,Trident Engineering Systems Ltd.,0.694,0.441,2.308,2.625,0.0,0.216,0.75,4.0,0
V0223,Bonny Industrial Ltd.,0.948,0.471,4.136,2.949,3.09,0.488,0.446,2.0,1
V0224,Vanguard Offshore Ltd.,0.265,0.529,2.697,1.477,5.673,0.295,0.79,5.0,1
V0225,Akwa Maritime Nig. Ltd.,0.898,0.341,3.697,2.514,7.818,0.225,0.924,5.0,0
V0226,Bonny Engineering Ltd.,0.934,1.0,4.269,1.897,3.684,0.161,0.624,4.0,1
V0227,Anchor Maritime Solutions Ltd.,0.642,0.725,3.359,2.337,7.012,0.205,0.796,7.0,0
V0228,Beacon Technical Services Ltd.,0.05,1.0,2.961,0.0,1.357,0.575,0.235,1.0,1
V0229,Riverside Maritime Systems Ltd.,1.159,0.132,3.733,3.749,15.0,0.166,0.807,0.0,0
V0230,Westgate Fabrication Nig. Ltd.,1.073,0.321,3.85,2.491,3.105,0.196,0.751,4.0,0
V0231,Escravos Fabrication Company Ltd.,0.869,0.505,3.702,1.845,9.622,0.744,0.334,5.0,1
V0232,Seabright Marine Services Ltd.,1.228,0.534,4.224,2.837,9.365,0.138,0.918,2.0,0
V0233,Akwa Energy Systems Ltd.,0.533,0.316,3.211,1.688,6.538,0.217,0.71,3.0,0
V0234,Akwa Engineering Ltd.,1.608,0.089,2.592,4.012,5.88,0.357,0.804,10.0,0
V0235,Crestline Petroleum Ltd.,0.677,0.334,3.645,3.408,3.364,0.296,0.566,5.0,0
V0236,Gulf Marine Nig. Ltd.,0.05,0.76,4.098,2.477,3.139,0.566,0.489,1.0,1
V0237,Delta Process Company Ltd.,1.423,0.648,4.439,2.362,10.07,0.271,0.807,3.0,0
V0238,Onne Integrated Ltd.,1.35,0.238,3.382,2.434,12.06,0.367,0.806,5.0,0
V0239,Warri Drilling Group Ltd.,1.052,0.538,2.774,3.669,8.739,0.221,0.415,1.0,0
V0240,Forcados Maritime Ltd.,0.412,0.878,1.27,0.0,6.347,0.668,0.457,0.0,1
V0241,Coastline Maritime Solutions Ltd.,1.971,0.548,2.6,3.386,4.358,0.243,0.609,5.0,0
V0242,Niger Process Systems Ltd.,0.924,0.613,4.316,3.931,4.073,0.124,0.387,4.0,0
V0243,Qua Iboe Engineering Company Ltd.,1.377,0.513,2.76,3.437,8.208,0.153,0.985,4.0,0
V0244,Niger Offshore Company Ltd.,0.124,0.612,1.703,2.866,1.698,0.369,0.698,4.0,0
V0245,Seabright Technical Ltd.,0.11,0.855,2.327,0.0,2.939,0.372,0.254,2.0,1
V0246,Calabar Pipeline Partners Ltd.,0.992,0.795,3.801,3.933,8.573,0.139,0.823,0.0,1
V0247,Forcados Energy Group Ltd.,0.895,0.661,5.078,0.277,5.549,0.451,0.464,5.0,1
V0248,Anchor Drilling Group Ltd.,0.411,0.267,3.121,3.847,12.386,0.468,0.93,0.0,0
V0249,Westfield Process Company Ltd.,0.34,0.651,3.198,1.58,4.149,0.343,0.422,3.0,1
V0250,Pinnacle Energy Group Ltd.,0.661,0.526,3.545,3.117,5.264,0.324,0.787,5.0,1
V0251,Coastline Industrial Nig. Ltd.,0.508,1.0,1.908,0.741,0.638,0.322,0.265,0.0,1
V0252,Primewell Technical Group Ltd.,1.722,0.376,2.712,3.262,4.713,0.248,0.699,1.0,0
V0253,Rivers Fabrication Solutions Ltd.,0.681,0.309,3.003,0.7,3.74,0.375,0.729,6.0,0
V0254,Beacon Oilfield Nig. Ltd.,0.476,0.196,3.762,0.939,2.151,0.209,0.624,6.0,0
